,username,public_repos,forked_repo_ratio,commit_count_last_6m,stars_total,followers,pull_requests_merged,avg_stars_per_repo,following,pull_requests_opened,issues_opened,readme_presence_ratio,cluster_label
0,ethan03,15,0.48501798752404124,329,9,3,33,1.7150620698554615,0,18,0,0.0015442894251179002,Cluster_2
1,jenniferrogers,6,0.08540303016272166,0,61,25,1,30.86318894378377,0,0,32,0.001431227837629208,Cluster_1
2,rhonda11,19,0.9724613900279022,448,3,192,37,0.0,81,73,13,0.0014205998859583894,Cluster_1
3,jessica24,72,0.5180104313760979,1403,170,10,141,29.91265782801945,0,0,15,0.008967390221154206,Cluster_1
4,jrojas,5,0.6141862443190114,134,28,48,13,0.0,6,0,0,0.0002212416317076359,Cluster_3
5,rhayes,5,0.23660978270750732,137,15,17,9,0.0,73,0,1,0.000713886674612665,Cluster_3
6,powelldavid,78,0.4834980851068038,1516,3,2,148,0.0,0,50,0,0.006261791746669637,Cluster_3
7,wendy09,23,0.42914949195832186,493,0,60,56,27.538674631773237,12,15,57,0.003179819588054521,Cluster_1
8,cheyenne48,3,0.07489584200198374,40,5,3,3,0.0,38,0,0,0.00038799530451597713,Cluster_2
9,tanyamathews,16,0.10616035354746722,216,245,20,31,0.0,0,53,11,0.0006091855394128291,Cluster_1
10,christopher67,3,0.8374725196187746,118,16,12,3,14.23755091161457,0,34,33,0.0004794320588680641,Cluster_1
11,ambergarner,3,0.23981995220659025,21,24,76,0,21.223619811854377,1,0,0,8.429784596541517e-05,Cluster_2
12,cjohnson,10,0.19495827149863054,157,107,4,7,24.050721895882628,4,29,34,0.0010153382888528496,Cluster_1
13,draymond,0,0.5049114512501393,0,854,36,0,inf,0,46,9,0.0,Cluster_1
14,cranejeffrey,0,0.7687471313625129,13,359,5,0,inf,0,33,0,0.0,Cluster_2
15,orich,3,0.06194651857898792,57,5,9,7,0.0,0,0,0,4.1140927999438886e-05,Cluster_2
16,mrogers,1,0.5768079196382558,47,1,0,6,34.49603355871461,0,0,0,9.402788483051317e-05,Cluster_1
17,walkerhaley,11,0.11921044284057336,153,2315,463,11,233.3386486277041,261,15,18,0.0007601379592944526,Cluster_2
18,deckerashley,1,0.03646105082561846,0,1966,45,0,1987.6591365808135,5,20,33,0.00014722205847591134,Cluster_3
19,oadams,0,0.05274395216221739,0,46,6,7,inf,33,0,13,0.0,Cluster_1
20,erica03,66,0.8341641082084413,1414,3,3,139,10.440120665354574,0,33,35,0.0075830874429541765,Cluster_3
21,whall,5,0.11797248362806156,94,187,9,3,12.51275031700424,0,0,0,0.0004610524521991907,Cluster_3
22,dreed,8,0.04515136441229195,214,27,58,22,16.04102472511297,17,45,15,0.0011211045808066401,Cluster_2
23,cassandra66,0,0.4378998871429123,1,27,1,1,inf,0,55,27,0.0,Cluster_1
24,derrickjones,3,0.8439934719420248,35,165,16,1,80.26728169901838,45,36,57,0.00010090984021780744,Cluster_3
25,amanda43,8,0.26240837648930193,147,60,285,15,23.648383647648565,120,1,0,0.0005786653564938557,Cluster_2
26,lindamorgan,1,0.4217126175259164,11,3,3,0,14.00760940306043,38,34,0,0.00011240856117692706,Cluster_1
27,psmith,12,0.03992253256375122,270,18,22,30,0.0,29,25,0,0.0017061969496649824,Cluster_1
28,xporter,3,0.4490785141348759,128,108,547,7,34.219989267830584,268,0,0,0.0001499296829770463,Cluster_3
29,nathanrogers,4,0.5776130806371337,97,82,51,6,9.342154801926874,0,64,0,0.00016705797052759955,Cluster_2
30,hmartin,2,0.5709070537521448,99,53,24,13,31.54731848366147,49,0,24,7.812130515652081e-05,Cluster_3
31,kimberlycarter,118,0.33242669217436516,2311,177,42,237,0.0,0,77,6,0.017508761684433036,Cluster_3
32,brownjennifer,7,0.3155331806631355,119,17,11,19,0.0,4,28,27,0.0007876091254008261,Cluster_2
33,thomasyang,1,0.10662361893659789,0,45,141,5,54.18067809813408,67,0,0,0.00013871938477701544,Cluster_3
34,troylambert,25,0.3667983206462684,515,0,11,49,0.0,0,29,55,0.0021190576170492387,Cluster_2
35,megan56,1,0.09949466887296465,2,14,1,0,16.431830791480248,0,28,9,0.00011017487460654317,Cluster_2
36,harry15,10,0.7665959447120516,236,130,11,30,0.0,0,12,0,0.0014395177945199956,Cluster_3
37,alvarezmichael,0,0.9662742977481859,0,16,4,6,inf,0,14,21,0.0,Cluster_2
